Year,Mortgage_Rate,Consumer_Inflation_Rate
2002.9166666666667,6.07,2.2535211267605604
2003.0,6.05,2.4802705749718212
2003.0833333333333,5.92,2.757456387169399
2003.1666666666667,5.84,3.146067415730336
2003.25,5.75,3.025210084033625
2003.3333333333333,5.81,2.175125488008911
2003.4166666666667,5.48,1.8941504178273005
2003.5,5.23,1.948775055679297
2003.5833333333333,5.63,2.055555555555544
2003.6666666666667,6.26,2.216066481994461
2003.75,6.15,2.378318584070782
2003.8333333333333,5.95,2.041942604856528
2003.9166666666667,5.93,1.9283746556473913
2004.0,5.88,2.0352035203520247
2004.0833333333333,5.74,2.026286966046009
2004.1666666666667,5.64,1.688453159041381
2004.25,5.45,1.7400761283306032
2004.3333333333333,5.83,2.2925764192139875
2004.4166666666667,6.27,2.8977583378895444
2004.5,6.29,3.1676679410158393
2004.5833333333333,6.06,2.939575394665228
2004.6666666666667,5.87,2.5474254742547275
2004.75,5.75,2.5391680172879516
2004.8333333333333,5.72,3.1909140075716547
2004.9166666666667,5.73,3.621621621621607
2005.0,5.75,3.3423180592991875
2005.0833333333333,5.71,2.8448738593666034
2005.1666666666667,5.63,3.0530262453133394
2005.25,5.93,3.2068412613575736
2005.3333333333333,5.86,3.3617929562433257
2005.4166666666667,5.72,2.869287991498415
2005.5,5.58,2.541026998411855
2005.5833333333333,5.7,3.067160232681121
2005.6666666666667,5.82,3.6469344608879517
2005.75,5.77,4.741833508956805
2005.8333333333333,6.07,4.350104821802936
2005.9166666666667,6.33,3.3385498174230532
2006.0,6.27,3.3385498174230532
2006.0833333333333,6.15,4.018789144050117
2006.1666666666667,6.25,3.63825363825363
2006.25,6.32,3.4179181771103018
2006.3333333333333,6.51,3.613835828600931
2006.4166666666667,6.6,3.9772727272727293
2006.5,6.68,4.1817243159525175
2006.5833333333333,6.76,4.104669061056954
2006.6666666666667,6.52,3.926568077511483
2006.75,6.4,2.012072434607637
2006.8333333333333,6.36,1.4063284781516971
2006.9166666666667,6.24,1.9687026754164672
2007.0,6.14,2.5239777889954462
2007.0833333333333,6.22,2.075765178123423
2007.1666666666667,6.29,2.420260782347028
2007.25,6.16,2.798197295943927
2007.3333333333333,6.18,2.5929247633283525
2007.4166666666667,6.26,2.709885742672613
2007.5,6.66,2.692765113974227
2007.5833333333333,6.7,2.3178905864958077
2007.6666666666667,6.57,1.897448478900876
2007.75,6.38,2.8338264299802685
2007.8333333333333,6.38,3.610698365527476
2007.9166666666667,6.21,4.373267326732666
2008.0,6.1,4.108813392417532
2008.0833333333333,5.76,4.294695655165981
2008.1666666666667,5.92,4.142959270611968
2008.25,5.97,3.9749035501344343
2008.3333333333333,5.92,3.9037609759888126
2008.4166666666667,6.04,4.088413823123993
2008.5,6.32,4.935966105947864
2008.5833333333333,6.43,5.497512078341837
2008.6666666666667,6.48,5.308017162091239
2008.75,6.04,4.953319875136075
2008.8333333333333,6.2,3.7310578899565128
2008.9166666666667,6.09,1.0999174706166848
2009.0,5.33,-0.02222800255385904
2009.0833333333333,5.06,-0.11358601902212717
2009.1666666666667,5.13,0.008463140671510772
2009.25,5.0,-0.4464787676623838
2009.3333333333333,4.81,-0.5763244243767063
2009.4166666666667,4.86,-1.015761495855172
2009.5,5.42,-1.2291746182109153
2009.5833333333333,5.22,-1.9587610037622771
2009.6666666666667,5.19,-1.4838355663267633
2009.75,5.06,-1.377942862886472
2009.8333333333333,4.95,-0.22396829420033848
2009.9166666666667,4.88,1.9145871744709275
2010.0,4.93,2.8141231232083674
2010.0833333333333,5.03,2.6211113889767157
2010.1666666666667,4.99,2.151336357866529
2010.25,4.97,2.2861714393279886
2010.3333333333333,5.1,2.2067707525304403
2010.4166666666667,4.89,2.003548929218568
2010.5,4.74,1.1215605940686268
2010.5833333333333,4.56,1.3407784804821077
2010.6666666666667,4.43,1.1501775395112546
2010.75,4.35,1.1183122472331775
2010.8333333333333,4.23,1.1666951489314625
2010.9166666666667,4.3,1.084544776600338
2011.0,4.71,1.437793022217937
2011.0833333333333,4.76,1.7007834915029774
2011.1666666666667,4.95,2.124898173333145
2011.25,4.84,2.619241510354109
2011.3333333333333,4.84,3.0772344447868694
2011.4166666666667,4.64,3.4589718808964998
2011.5,4.51,3.5023181506360412
2011.5833333333333,4.55,3.5798809769996165
2011.6666666666667,4.27,3.75499603070808
2011.75,4.11,3.812621692818685
